category,cid,follower_count,time_node,total_comment,total_favorited,total_play_count,total_share
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,588639,2023-06-01 00:00:00,0,-2,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,588587,2023-06-02 00:00:00,0,-14,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,588509,2023-06-03 00:00:00,0,-1,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,588429,2023-06-04 00:00:00,0,47,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,588366,2023-06-05 00:00:00,0,53,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,588282,2023-06-06 00:00:00,0,37,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,588218,2023-06-07 00:00:00,0,36,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,588128,2023-06-08 00:00:00,0,27,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,588046,2023-06-09 00:00:00,0,20,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,587976,2023-06-10 00:00:00,0,27,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,587891,2023-06-11 00:00:00,0,46,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,587803,2023-06-12 00:00:00,0,35,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,587732,2023-06-13 00:00:00,0,28,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,587647,2023-06-14 00:00:00,0,38,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,587575,2023-06-15 00:00:00,0,48,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,587485,2023-06-16 00:00:00,0,82,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,587446,2023-06-17 00:00:00,0,207,0,0
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,587361,2023-06-18 00:00:00,0,304,0,0
