category,author_id,name,title,rid,comment,likes,share,duration,createtime,product,sales,volume,aweme_type,aweme_url,collect_count,download_count,forward_count,group_purchase_poi_id,group_purchase_poi_name,his_promotion_id,is_diversion,label,music_id,play_count,play_count_text,play_count_v1,play_count_v1_text,product_count,promotion_id,sku_id,sku_title,comment_转化率,likes_转化率,share_转化率,collect_count_转化率,download_count_转化率,forward_count_转化率,是否为带货视频,小时,星期几_数字,星期几_文字,标签字数占比,标签情感方向,标题情感方向,标签标题情感方向一致性,标签的平均情感唤起度,标题情感唤起度,标签情感类别,标题情感类别,标签的平均语义距离,标签个数
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,神兽许仙,#电影消失的她 取景地#灯塔,PpQ1pQeWRPR76lM1aooMqv6ggdJGHsOy,25,482,22,21036,2023/7/16 10:50,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7256243298799488317/?region=CN&mid=7256243335037782842&u_code=0&did=MS4wLjABAAAAYJsrsp7dCpBxxuSX9tf8ecG6JdOeQijBj2T3ncXfHLd68ZQde6iU4mYcxXggpXZj&iid=MS4wLjABAAAA-uKHBXb7QDMdEmFyGDJmluzXYVndUeh3T8UeTMa70YMEHi-wa_CBF06qaTCMdTtq&with_sec_did=1&titleType=title&share_sign=qU_7Sj6CENRB8D49LezGSuhJWmtgxWVP4661DHLWfHo-&share_version=290800&ts=1720428302&from_aid=1128&from_ssr=1,30,1,0,,,,0,宠物,7.25624E+18,0,0,-2147483648,0,0,,,,0,0,0,0,0,0,0,10,6,Sunday,0.857142857,0.663212064,0.278520166,0,0.326424129,0.442959668,[],[],0.259118855,2
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,神兽许仙,放羊娃#羊驼,OY8cjBD1bDWuEGibqSnmxBbDNJTZUctg,22,535,53,30139,2023/7/1 11:10,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7250682378811755836/?region=CN&mid=7250682438131698490&u_code=0&did=MS4wLjABAAAAYJsrsp7dCpBxxuSX9tf8ecG6JdOeQijBj2T3ncXfHLd68ZQde6iU4mYcxXggpXZj&iid=MS4wLjABAAAA-uKHBXb7QDMdEmFyGDJmluzXYVndUeh3T8UeTMa70YMEHi-wa_CBF06qaTCMdTtq&with_sec_did=1&titleType=title&share_sign=TxakTorQu3rLV3LjNccpkoS8JkiMHqOojPuzetJikbI-&share_version=290800&ts=1720428302&from_aid=1128&from_ssr=1,32,9,0,,,,0,宠物,7.25068E+18,0,0,-2147483648,0,0,,,,0,0,0,0,0,0,0,11,5,Saturday,0.833333333,0.668055601,0.579545052,1,0.336111203,0.159090105,[],[],0.016740084,1
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,神兽许仙,今晚吃火锅 催催生#羊驼,h7VvO18dt-fijduGpMxKhpluxlUZ4Owt,187,4919,254,296355,2023/8/22 13:48,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7270019419231817016/?region=CN&mid=7270019479449455397&u_code=0&did=MS4wLjABAAAAsXrmGQ53BQJmxjdbXanyDWrxE4yRrbHVmJHvyQxRvtcOWtG2EnBJWVeaWf_URHsG&iid=MS4wLjABAAAA0D04_5S8HPuUH08nR_HZaRlFeU7xyagInlJgd0ta0mbi6DA6TvJnKDfpkGGDwBp-&with_sec_did=1&titleType=title&share_sign=ElrVCgSEa6Pgfaawhq8PmHhcRIH4jQBaDg3HJ92ZQmQ-&share_version=270700&ts=1700775794&from_aid=1128&from_ssr=1,311,9,0,,,,0,宠物,7.27002E+18,330000,33w+,330000,33w+,0,,,,0.000566667,0.014906061,0.000769697,0.000942424,2.72727E-05,0,0,13,1,Tuesday,0.916666667,0.510082873,0.226538558,0,0.020165746,0.546922884,[],[],0.21009922,1
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,神兽许仙,土妞变模特#羊驼 #萌宠日常记录,HSHuq9G0oFzGt3fpNxu2Qi69aPqwdp3r,84,736,70,86702,2023/11/20 18:49,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7303494692409183539/?region=CN&mid=7303494726961990437&u_code=0&did=MS4wLjABAAAAYJsrsp7dCpBxxuSX9tf8ecG6JdOeQijBj2T3ncXfHLd68ZQde6iU4mYcxXggpXZj&iid=MS4wLjABAAAA-uKHBXb7QDMdEmFyGDJmluzXYVndUeh3T8UeTMa70YMEHi-wa_CBF06qaTCMdTtq&with_sec_did=1&titleType=title&share_sign=cQm6y2YVpxEz8PJKibXYJA0zACToq93tnDHXkLcfy6Y-&share_version=290800&ts=1720428302&from_aid=1128&from_ssr=1,44,2,0,,,,0,宠物,7.30349E+18,0,0,-2147483648,0,0,,,,0,0,0,0,0,0,0,18,0,Monday,0.8125,0.783916806,0.995441192,0,0.567833612,0.990882384,[],[],0.18433328,2
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,神兽许仙,美拉德羊驼 脸刹#羊驼 #直播片段,0iK9xeUpw8D_hm_MWGs7TS0Vlu9CcyCc,186,1501,643,113173,2023/11/15 16:09,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7301597900226727178/?region=CN&mid=7301597995605199666&u_code=0&did=MS4wLjABAAAAYJsrsp7dCpBxxuSX9tf8ecG6JdOeQijBj2T3ncXfHLd68ZQde6iU4mYcxXggpXZj&iid=MS4wLjABAAAA-uKHBXb7QDMdEmFyGDJmluzXYVndUeh3T8UeTMa70YMEHi-wa_CBF06qaTCMdTtq&with_sec_did=1&titleType=title&share_sign=11FoGZ5931eIJOR5oX8MYY_Fupw0jGuqEogW1KL6IGY-&share_version=290800&ts=1720428302&from_aid=1128&from_ssr=1,88,20,0,,,,0,宠物,7.3016E+18,44000,4.4w+,44000,4.4w+,0,,,,0.004227273,0.034113636,0.014613636,0.002,0.000454545,0,0,16,2,Wednesday,0.823529412,0.460893597,0.031415891,0,0.078212806,0.937168218,[],[],0.179348588,2
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,神兽许仙,摔丢一只鞋#羊驼 #直播片段,fR9b2RkuobYJHlPSHDZ2hv6MOVQ1Sipe,367,2938,1452,106277,2023/11/4 17:59,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7297544387720924467/?region=CN&mid=7297544436446235419&u_code=0&did=MS4wLjABAAAAYJsrsp7dCpBxxuSX9tf8ecG6JdOeQijBj2T3ncXfHLd68ZQde6iU4mYcxXggpXZj&iid=MS4wLjABAAAA-uKHBXb7QDMdEmFyGDJmluzXYVndUeh3T8UeTMa70YMEHi-wa_CBF06qaTCMdTtq&with_sec_did=1&titleType=title&share_sign=ESbG3Es05ZmPEaE7uNLNWqT3UNGzn0aFfz4XknwzK0w-&share_version=290800&ts=1720428302&from_aid=1128&from_ssr=1,151,25,0,,,,0,宠物,7.29754E+18,220000,22w+,220000,22w+,0,,,,0.001668182,0.013354545,0.0066,0.000686364,0.000113636,0,0,17,5,Saturday,0.785714286,0.543174493,0.119204262,0,0.086348987,0.761591476,[],[],0.087718762,2
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,神兽许仙,许仙：岁月不饶驼  跑不动了??#羊驼,8ptZMNHn19oMq3J18jC4bThcXOEh14_2,62,564,86,125387,2023/12/5 19:06,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7309065279311449371/?region=CN&mid=7309065341378300709&u_code=0&did=MS4wLjABAAAAYJsrsp7dCpBxxuSX9tf8ecG6JdOeQijBj2T3ncXfHLd68ZQde6iU4mYcxXggpXZj&iid=MS4wLjABAAAA-uKHBXb7QDMdEmFyGDJmluzXYVndUeh3T8UeTMa70YMEHi-wa_CBF06qaTCMdTtq&with_sec_did=1&titleType=title&share_sign=EPiMrLS.CqHMeetYj97gGPrS.P2s0._r9jARiQPl4.o-&share_version=290800&ts=1720428302&from_aid=1128&from_ssr=1,50,6,0,,,,0,宠物,7.30907E+18,0,0,-2147483648,0,0,,,,0,0,0,0,0,0,0,19,1,Tuesday,0.944444444,0.495779396,0.465356695,1,0.008441208,0.06928661,[],[],0.360616148,1
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,神兽许仙,养生驼#羊驼,Aw2FE87ZT7PcLiltwaSTY8jPuYRgCAER,51,1055,97,122438,2023/12/4 19:18,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7308697269383990565/?region=CN&mid=7308697310182230821&u_code=0&did=MS4wLjABAAAAYJsrsp7dCpBxxuSX9tf8ecG6JdOeQijBj2T3ncXfHLd68ZQde6iU4mYcxXggpXZj&iid=MS4wLjABAAAA-uKHBXb7QDMdEmFyGDJmluzXYVndUeh3T8UeTMa70YMEHi-wa_CBF06qaTCMdTtq&with_sec_did=1&titleType=title&share_sign=3w11rvPYc17oENFfPToFzB_fYIQIrG6Ra1ocetNJL.c-&share_version=290800&ts=1720428302&from_aid=1128&from_ssr=1,71,3,0,,,,0,宠物,7.3087E+18,17000,1.7w+,17000,1.7w+,0,,,,0.003,0.062058824,0.005705882,0.004176471,0.000176471,0,0,19,0,Monday,0.833333333,0.614897695,0.421874598,0,0.229795391,0.156250805,[],[],0.150967956,1
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,神兽许仙,睡一觉媳妇丢了#羊驼 #萌宠出道计划,_gtf8w8M7U5LbyPONcf2S_PAHNmD0IIb,87,3859,317,56958,2024/3/16 11:08,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7346792684331306278/?region=CN&mid=7346792722822335251&u_code=0&did=MS4wLjABAAAAYJsrsp7dCpBxxuSX9tf8ecG6JdOeQijBj2T3ncXfHLd68ZQde6iU4mYcxXggpXZj&iid=MS4wLjABAAAA-uKHBXb7QDMdEmFyGDJmluzXYVndUeh3T8UeTMa70YMEHi-wa_CBF06qaTCMdTtq&with_sec_did=1&titleType=title&share_sign=ogsamlMXy6WNA_eYOVSjliXMz101u5Se78cDvASHU2s-&share_version=290800&ts=1720428302&from_aid=1128&from_ssr=1,509,25,0,,,,0,宠物,7.34679E+18,0,0,-2147483648,0,0,,,,0,0,0,0,0,0,0,11,5,Saturday,0.833333333,0.345203707,0.00430065,0,0.309592586,0.991398699,[],[],0.185672835,2
三农,YrKafmwdTVX7MX6xrZM0nziTGx_qcZPF,神兽许仙,许仙小院正式开工#羊驼 #农村自建房,CFAUonagdGYx0A2jbkh_yIygOFZy7HEu,13,511,17,95712,2024/5/27 20:28,,-2147483648,-2147483648,0,https://www.iesdouyin.com/share/video/7373655310420004105/?region=CN&mid=7373655337137736489&u_code=0&did=MS4wLjABAAAAYJsrsp7dCpBxxuSX9tf8ecG6JdOeQijBj2T3ncXfHLd68ZQde6iU4mYcxXggpXZj&iid=MS4wLjABAAAA-uKHBXb7QDMdEmFyGDJmluzXYVndUeh3T8UeTMa70YMEHi-wa_CBF06qaTCMdTtq&with_sec_did=1&titleType=title&share_sign=t.yo.eoltYD2NFewT6Mk4kr5rQHi3VBQIc5Lz5zACOE-&share_version=290800&ts=1720428302&from_aid=1128&from_ssr=1,31,1,0,,,,0,宠物,7.37366E+18,0,0,-2147483648,0,0,,,,0,0,0,0,0,0,0,20,0,Monday,0.833333333,0.694019984,0.766818113,1,0.388039969,0.533636226,[],[],0.146202609,2
