category,author_id,name,title,rid,comment,likes,share,duration,createtime,product,sales,volume,aweme_url,collect_count,download_count,forward_count,play_count,product_count,follower_count
居家,ggfynk7Scvqbrdfnn2JShw,年糕大王！,复古就是潮流！家居考古是真的能学到东西#家居 #智能家居 #装修 #用薄荷曼波叫醒春天,Uk7rZ5pdm8r4CAB0ttGrEtX7THvhVlDE,152,14804.0,229.0,88585.0,2024-03-29 10:37:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7351608879651900708/?region=CN&mid=7351608970169092900&u_code=-1&did=MS4wLjABAAAAXbVgV2n4UFqtI4wuMYv7OgIaGwEZtZVG-1fetzAFQJrKk-SwNi_yN6zaycUHmsZt&iid=MS4wLjABAAAAKTVmez2hN-FFowJV0P1mlx8i9xzeEdbzOr-hnUDGi71TxPJA-bEr3aljB-kvpERI&with_sec_did=1&titleType=title&share_sign=07618_LfCM0blGV18vaZelwI1k4jRBppo_ytt1opWz8-&share_version=290600&ts=1716888030&from_aid=1128&from_ssr=1,409.0,0.0,0.0,1200000.0,0.0,2873487
居家,ggfynk7Scvqbrdfnn2JShw,年糕大王！,Mini Vlog｜记录生活呀?? #ootd穿搭 #家居 #vlog #氛围感,zZFHIB7U8yY7Ycd18EHMyvDizWArcc_u,305,32356.0,4536.0,50734.0,2024-04-27 16:48:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7362466050400636214/?region=CN&mid=7362466084689300287&u_code=0&did=MS4wLjABAAAAZVN8jv28JLGArBffXZiU5IquDc_B1BUHbGui4MQHocPJn5ugm8-wENGbdcXY8cJP&iid=MS4wLjABAAAAAD4RRxJIvZyS6NKax_EcVJwXUiBWbnT4CsNucan1cioDQAE7yur-HpXEazGV1R1F&with_sec_did=1&titleType=title&share_sign=1vnsExwTmWk3ifQIJt4oki3A.YZaloYbRYw2lR.kGbs-&share_version=290800&ts=1720390241&from_aid=1128&from_ssr=1,221.0,1.0,0.0,640000.0,0.0,2866769
居家,ggfynk7Scvqbrdfnn2JShw,年糕大王！,99年独居女生 浴室好物分享合集来噜！ #浴室好物#好物推荐??#家居 #种草好物,qHqGC-KMEarSpfa2IXLBUpl28o51hCKF,231,15536.0,156.0,84846.0,2024-04-11 12:30:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7356420310184283402/?region=CN&mid=7356420419479407396&u_code=0&did=MS4wLjABAAAAZVN8jv28JLGArBffXZiU5IquDc_B1BUHbGui4MQHocPJn5ugm8-wENGbdcXY8cJP&iid=MS4wLjABAAAAAD4RRxJIvZyS6NKax_EcVJwXUiBWbnT4CsNucan1cioDQAE7yur-HpXEazGV1R1F&with_sec_did=1&titleType=title&share_sign=3g2qAWh.17WMiKQANbWjeNWfMibwRBMz73U6J.7r848-&share_version=290800&ts=1720390241&from_aid=1128&from_ssr=1,239.0,4.0,0.0,1400000.0,0.0,2870250
居家,Y020H7kyoMj0qqLh11BPvIlXuDty5BJh,辣木辛子,真不是我说，有个千人宝妈群当后盾泰爽啦！#带娃 #半边绒家居服 #被嫚熙暖到了,OE0_Adpn94_0405SsBySIkB5-pwVGjGx,111,46458.0,803.0,71500.0,2023-10-07 19:19:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7287149285571874059/?region=CN&mid=7287149378765163325&u_code=12h8jcf69a3l&did=MS4wLjABAAAAG__4T-6Ya1RBRhsT2e0gMbBU_nY6-KeWNYKxvCbhpvlfiSb3o8eJjhfJR0RjN5n9&iid=MS4wLjABAAAAhog7QFDZYlX5wGtX0DirqyMk4m-I_Uvc4nPfFmTfGBYhRE7PYu2UjC_lX66_dTCL&with_sec_did=1&titleType=title&share_sign=VrnbREUk9gKQ0N6sfXYGQmo6G8O.I5tfl8z5RdYe8Wg-&share_version=280100&ts=1703755509&from_aid=1128&from_ssr=1,866.0,1.0,0.0,840000.0,0.0,1381177
居家,Y020H7kyoMj0qqLh11BPvIlXuDty5BJh,辣木辛子,这些品牌你们真的，我哭死..#女性友好品牌,JqbMoZcYU0uIJjRL_hZ5RtihtIkjlKPY,83,11971.0,219.0,85099.0,2024-01-22 16:59:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7326844630140472603/?region=CN&mid=7326844676261153546&u_code=0&did=MS4wLjABAAAAtHjU1PqRnOiWXIsuZ_xEXWEcMB86ZcPQK-YqYN6v_Czg1ZSQYTjDD_2EkBlgQXvC&iid=MS4wLjABAAAAkhaT2Rm5THZT9CjG481GjHSjkkBDbriT6Ii_pslHdbIQgeeZzQEAcJM-wRg58LQQ&with_sec_did=1&titleType=title&share_sign=eCSuqkd3WHvC0mUK6m18tsRnoTS6hoQXxktLpt9B1Go-&share_version=280000&ts=1712976827&from_aid=1128&from_ssr=1,444.0,2.0,0.0,380000.0,0.0,1372089
居家,Y020H7kyoMj0qqLh11BPvIlXuDty5BJh,辣木辛子,老公在家躺平不干活？说明差了个它#追觅洗地机#照顾她的每一面#抖音商城开新日,mmSzHUe0EBpzHTSkXlI-uRyLPt-MEusg,219,29865.0,913.0,60534.0,2024-03-09 11:00:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7343502009959582976/?region=CN&mid=7343502081602358070&u_code=0&did=MS4wLjABAAAAFqGx_QYgtRh-KSfsniP5lg5R92zPRMHQh73bTw0B5P8ggJll13zuaJRAuMeOjxnu&iid=MS4wLjABAAAAOY66ppuNaO1sLWVx9k_A6jcDs7PNg5kvbRQYQuTLlUUdh6Omly8xHiTLyEFfzSBr&with_sec_did=1&titleType=title&share_sign=FPwznlaNolwWDhkCYRur1Y1jsn_0LSROR4GwtLMsoHg-&share_version=290600&ts=1718419045&from_aid=1128&from_ssr=1,1115.0,1.0,0.0,400000.0,0.0,1369261
居家,Y020H7kyoMj0qqLh11BPvIlXuDty5BJh,辣木辛子,变美什么时候都不晚！生娃后的你如果跟我一样，那早点开始自救吧！#变美#敷尔佳抗氧美白#敷尔佳修护美白,p0RLa6X5-4pq9uOBHjnAHhkFGKUTD1-M,711,69064.0,3297.0,61803.0,2024-03-02 17:01:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7341214977987988773/?region=CN&mid=7341215111446629129&u_code=0&did=MS4wLjABAAAAZkHFCx-Yq8hxgFaviknQtt2wFiuycZ2-Vd6TSdamwayOY15fO71ESPxGB05-9zF0&iid=MS4wLjABAAAAtHnmSEvvyMPtb7hmZ5S0OLOC8FYNLE4w_WT613P0wRVbSJQvw08QH6oO0vU-ERDH&with_sec_did=1&titleType=title&share_sign=HSNb7ttOJT5TA7V0S6mm2AUfUwqcwqAKwE7Kne2bqCc-&share_version=290600&ts=1715788889&from_aid=1128&from_ssr=1,10587.0,40.0,0.0,9000000.0,0.0,1367663
居家,Y020H7kyoMj0qqLh11BPvIlXuDty5BJh,辣木辛子,如果生娃前会告诉我这些事，那我一定会....#怀孕 #哺乳内衣 #嫚熙,w5MT0efjLA5QjBPobmMkbT8g1bfVgiHH,316,26051.0,1155.0,67734.0,2024-04-28 16:53:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7362808768075156777/?region=CN&mid=7362808854989572915&u_code=0&did=MS4wLjABAAAAP1sP6jZCjpMvuvs1CUkkKjv-dmVailIcSr-ssCKjLA1l3LkMXhTs9esSVW2kFXYH&iid=MS4wLjABAAAAzAhy-W8rXDIWByy7GNiivEra3bvN3RTs7fMBQOybKu_H05NZFQE5_KtPP7AazE8c&with_sec_did=1&titleType=title&share_sign=iFSwuz.jXZ33xcn3mx8i.k8pnqDXjHM.3kgfQrQiykE-&share_version=290800&ts=1720384744&from_aid=1128&from_ssr=1,1267.0,2.0,0.0,740000.0,0.0,1365419
居家,g7iTaf-0ClNY7bZdL66Ih_5AKXX5kBhj,一坨李海棠,还是大学生会玩，上到羽绒服下到卫生纸，外卖小哥的冬季福利羊毛都被薅疯了。#美团众包#省钱小妙招,2GN8LVKxlMQXialkn4lzLbn3LBi7GdVb,301,36300.0,2715.0,73631.0,2023-12-07 18:01:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7309747271225134374/?region=CN&mid=7309747330400078601&u_code=0&did=MS4wLjABAAAAALmjCU0qyWTgLNPrKTyuzoNjyWYMF-ZDiMdeFVB_MOp_JHh0RV_hP5cY2DUxQ5cE&iid=MS4wLjABAAAAXH-mHXu0UZJaB3FJwmqqmiwX5y7pRaSJxbiDbRalAmfAYHnHbBaZy9vuhNHtEAJJ&with_sec_did=1&titleType=title&share_sign=7UG1lA9bL7vYCjFX54yHvJ6bPEQP0aELaalTfVMAuzo-&share_version=290500&ts=1713590959&from_aid=1128&from_ssr=1,1804.0,25.0,0.0,1200000.0,0.0,1055562
居家,g7iTaf-0ClNY7bZdL66Ih_5AKXX5kBhj,一坨李海棠,谁家洗澡还在忽冷忽热！谁！谁家！#美的无冷感S7 #零循环恒温 #热水器,ewb5tgecnLo3_fepTWWXQudu9miSGwbK,422,43729.0,822.0,101750.0,2024-04-11 17:00:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7355430253524815156/?region=CN&mid=7355430322563091237&u_code=-1&did=MS4wLjABAAAA7PcdX_rjmvzfNZU07UrFwFEOV6BdcqeaL1ugAmv3P-OlT0uuYfmYRWmPY_Net2B3&iid=MS4wLjABAAAAstGjirUE9fOcWaAlRIFdnst5NzePrH7XNQewjuZdmi7CWGa0Qv9eFV_crtDnduR8&with_sec_did=1&titleType=title&share_sign=bGv6tmvTwVYJ53.uM5EnyJcccq2dJF8tUnTSxH9C0XM-&share_version=290600&ts=1718010080&from_aid=1128&from_ssr=1,1698.0,13.0,0.0,1800000.0,0.0,1096844
居家,g7iTaf-0ClNY7bZdL66Ih_5AKXX5kBhj,一坨李海棠,听劝！听劝！这些东西千万别一起吃！#有用的知识 #测评 #科普 #胡吃海喝对身体的危害,SxA8rgCEqfi0qfU6Ov-p3JHXknDuEZuq,55411,62274.0,93208.0,55148.0,2024-06-18 17:51:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7381778694521638179/?region=CN&mid=7381778753019562771&u_code=0&did=MS4wLjABAAAAEgnJINYYYPA5QPl2aJbHtsKJU4IoV9IhW_9dq4MKsY41-KPr6ldCyUVMnSks0lq2&iid=MS4wLjABAAAAZdcCg0A6dsJYpg-oyFSdiV549aEEITdOf13mGZOc2xyzVoFdaGTSKA6ild5aVQKJ&with_sec_did=1&titleType=title&share_sign=ErzYlj6WIsOK4WBJiYHGlN_DZ0531gFHYwiBNBzWkm0-&share_version=290800&ts=1720406408&from_aid=1128&from_ssr=1,10467.0,1455.0,0.0,0.0,0.0,1100101
居家,s6ZMDaR4MWeb6NvZx0IEhQ,蓝月亮官方旗舰店,还好姐妹给我推荐了#蓝月亮除菌去味洗衣液 ，下雨天也不怕衣服有阴干味啦~#蓝月亮 #洗衣液,z5FXEdt-7YaaXMhBliU-REfXSs-J4j06,8,76.0,17.0,17694.0,2024-03-30 17:07:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7352080480306498831/?region=CN&mid=7352080518026005259&u_code=-1&did=MS4wLjABAAAAfbuyy93nxSp9nyOK5T1M7VJYU40Gja0XGu1x0BR-NhazgAmobE9JuP5dfbvZy3xW&iid=MS4wLjABAAAATDLRxDDNCNQSqrhVKvf4Q8t365DjgV1NrFuw2D3-9qBk-GIxwwlybTs-DXlMMKGX&with_sec_did=1&titleType=title&share_sign=YK48_ZI9RdmDbTcKW_Fln_ivf3jvVFoqKzE4B3xXFvc-&share_version=290600&ts=1716973544&from_aid=1128&from_ssr=1,17.0,0.0,0.0,0.0,0.0,4588540
居家,s6ZMDaR4MWeb6NvZx0IEhQ,蓝月亮官方旗舰店,这款#蓝月亮经典洗衣液 可太好用了，活性物浓度远超国标，简直是去污去渍的尖子生~#蓝月亮 #洗衣液,DEEAk3vFBjmgT5FhidmkK0Q11ZtelGs4,0,75.0,28.0,19136.0,2024-03-30 17:05:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7352080087870655779/?region=CN&mid=7352080159681350436&u_code=-1&did=MS4wLjABAAAAxJJ_gGocZY6ZWkV4WSpWAWNJ_rC20V-gHfspVaUAsp-AX3Xr7wZ38OMZKmgBP04P&iid=MS4wLjABAAAAOsdgyJTOkc2I9PGkjr4VS6-A43BG5D2G5qmrz5tbMtnUR3GnJkJiFIGcZ0c5tryp&with_sec_did=1&titleType=title&share_sign=dE1tMdngNRGrPaQUkCLZynRBV8mYm.NOO6OPyt_RjSM-&share_version=290600&ts=1716973540&from_aid=1128&from_ssr=1,14.0,0.0,0.0,0.0,0.0,4588540
居家,s6ZMDaR4MWeb6NvZx0IEhQ,蓝月亮官方旗舰店,#蓝月亮 全系洗衣液，连续14年市场占有率第一。,JKi8p5oS5_Ilh5C7Ho_ORqS-aKFYCFtT,2304,78360.0,3326.0,20011.0,2024-03-26 14:44:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7350559279541144866/?region=CN&mid=7350559394779810614&u_code=-1&did=MS4wLjABAAAA-5iWuvAu-nEX_PKsgkDROJy-GsTgeij_SmCZaBnC7KfTi6N7nMExsFk8WxW7e6N3&iid=MS4wLjABAAAA1fm72_uX5lpTQ07AeAORQGP6uxJMhjcxoLEivfyex4amZ8epA6wrU7fFuY0KDxOE&with_sec_did=1&titleType=title&share_sign=GCihSkNVpuSBPJEVPBOArJlDdyAOFN71y65WgnHQGHo-&share_version=290600&ts=1716623311&from_aid=1128&from_ssr=1,17546.0,10.0,0.0,0.0,0.0,4579243
居家,s6ZMDaR4MWeb6NvZx0IEhQ,蓝月亮官方旗舰店,至尊洗衣液，15分钟快洗，超干净无残留！#蓝月亮 #中国跳水队 ,ik91Zx426VL0rBXr9hUSt4o-eOK5Sgoi,4804,196947.0,11005.0,18321.0,2024-03-26 11:29:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7350509117531770152/?region=CN&mid=7350509174788213513&u_code=0&did=MS4wLjABAAAAZQgkIXhPQ9xa1C5k9DpVfBC3zbrfkYuN1RHt-MA_YkEgfuWMiWqwibVbpzP5eMH0&iid=MS4wLjABAAAAVjdYos5BMKspGS5OLjJEEGKxMzHjkhPkV41EquVqb6harCdc3fXtoxw5poT-w5hr&with_sec_did=1&titleType=title&share_sign=TbfACyxzQyoN8WRmWLavGmbndqpWik5DEAGCmoYfoAY-&share_version=290800&ts=1720432912&from_aid=1128&from_ssr=1,51231.0,30.0,0.0,120000000.0,0.0,4579243
居家,s6ZMDaR4MWeb6NvZx0IEhQ,蓝月亮官方旗舰店,快洗也能洗得干干净净，秘诀就是#蓝月亮至尊洗衣液 喜欢的友友们快抓住机会去直播间看看吧#蓝月亮 #洗衣液,aHU2VDpkPhXL5PMwxFM5yJkiz1zUobFH,2,47.0,11.0,17973.0,2024-04-26 19:07:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7362130741922204967/?region=CN&mid=7362130796498520873&u_code=-1&did=MS4wLjABAAAA2yyskLf-tcBa3dWTtIfFkS64W3vQIzIiU0C1eQ-lDmBqHCy0cL3sYrFZ7MEgA8FP&iid=MS4wLjABAAAAKqoln7E0BgBp5TYXhIEUiRM4_NJjtib6gBXAdcKt7Ttck7pUcr0qdWEPIF8RFNGJ&with_sec_did=1&titleType=title&share_sign=7dqA0tXBAvSgpZeThKPk3L6FaH8t57KuRIXo5uiy3EM-&share_version=290800&ts=1719320220&from_aid=1128&from_ssr=1,8.0,0.0,0.0,0.0,0.0,4642552
居家,s6ZMDaR4MWeb6NvZx0IEhQ,蓝月亮官方旗舰店,#蓝月亮至尊洗衣液 让你从此爱上快洗，先用先享受，快来看看吧#蓝月亮 #洗衣液,nItX9O6I8f19TD-NUHY0MFA2KMFgbhV9,2,29.0,5.0,22060.0,2024-04-26 19:04:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7362129890537245993/?region=CN&mid=7362129947541998372&u_code=-1&did=MS4wLjABAAAA6z5qvWtxnzYTW40vVAea7Lis47viGEMR-zCvVua8-p-vcIMQbaRKJvGiAOa7eKvV&iid=MS4wLjABAAAAMhbspnoI1mbYbl-zcxhKj8CsLIFLlmZKTKvyIG37UCO16rDVK-O6Zj2IS7FNG97y&with_sec_did=1&titleType=title&share_sign=7Z9fpbSQr1L65xGrCePK2JBrKCOUIbDVKX9q10mv9NY-&share_version=290800&ts=1719320214&from_aid=1128&from_ssr=1,9.0,0.0,0.0,0.0,0.0,4642552
居家,s6ZMDaR4MWeb6NvZx0IEhQ,蓝月亮官方旗舰店,洗衣液选的好，洗衣没烦恼！#蓝月亮至尊洗衣液 浓缩+配方，秒溶快洗，用过的瓶子可以用来插花！ #洗衣液 #蓝月亮,_FBGSQPQuhNfPr7KzcbME7OTDBjF4RJu,0,40.0,11.0,20573.0,2024-04-16 18:32:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7358410809048911167/?region=CN&mid=7358410818855176996&u_code=-1&did=MS4wLjABAAAACAxco1V5vRpXGctuH0L-lyzssQkU6-Av3dvzNW7Vjt0&iid=MS4wLjABAAAA2QZEyOahYLSykbe2LmrcQ_apoSUbwkcd08J-O7Pp9Gw&with_sec_did=1&titleType=title&share_sign=Sp5ebtcUAUUd05rseoPKQgPUs6Ziu0xWnQfQxE91oXQ-&share_version=290600&ts=1718445861&from_aid=1128&from_ssr=1,6.0,0.0,0.0,0.0,0.0,4630508
居家,s6ZMDaR4MWeb6NvZx0IEhQ,蓝月亮官方旗舰店,无论是品质还是溶解速度我都是杠杠的~赶紧来试试看#蓝月亮至尊洗衣液 #蓝月亮 #洗衣液,4RGTvYKAXso54dfBdyaEJmHsbcOE6vR3,2,28.0,2.0,20806.0,2024-04-16 18:29:00,,-2147483600.0,-2147483600.0,https://www.iesdouyin.com/share/video/7358410109917154599/?region=CN&mid=7358410133111655219&u_code=-1&did=MS4wLjABAAAA6MBX-8T6k4UsjzvOAig9VoKBEhIj4QNK0wbr1MoinnA&iid=MS4wLjABAAAAyOYRtuN_DSJWbHOXlmIr7vApbW4D3R-FvJIIc4U-vy0&with_sec_did=1&titleType=title&share_sign=u735vg4zQnTaSoa6Z.vbMU9iWljiQhkKZlaBqaSXXmM-&share_version=290600&ts=1718445846&from_aid=1128&from_ssr=1,3.0,0.0,0.0,0.0,0.0,4630508
